id,email,cnpj,social_name,legal_name,state_registration,phone,company_type,created_at,updated_at
3,christene@hansen.example,60190670433685,da Silva-Gomes,"Empresa Franco, da Terra e Macedo Ltda.",429715512,(62) 2165-3171,buyer,2025-03-13 19:37:15.988665,2025-03-13 19:37:15.988665
4,cherrie_stehr@mosciski.test,10079753518229,Parreira-Neves,Empresa Junqueira-Domingues Ltda.,535855986,(98) 5045-6620,buyer,2025-03-13 19:37:16.000357,2025-03-13 19:37:16.000357
5,clair@roob-lubowitz.example,28755140103633,Silva-Leiria,Empresa Macieira LTDA Ltda.,667431542,(77) 6282-5808,supplier,2025-03-13 19:37:16.013530,2025-03-13 19:37:16.013530
6,sonia.cassin@feil-jerde.test,30292330368198,"Rodrigues, Carvalheira e Guedes",Empresa Roriz S.A. Ltda.,598543433,(71) 1358-1886,supplier,2025-03-13 19:37:16.026508,2025-03-13 19:37:16.026508
7,sergio.shanahan@williamson-nader.example,93448257745399,da Fronteira e Associados,Empresa Corrêa e Associados Ltda.,323156546,(67) 8971-8637,supplier,2025-03-13 19:37:16.038415,2025-03-13 19:37:16.038415
8,angelo.purdy@schinner.example,65496315427133,"Castanho, Simão e Peixoto","Empresa Espinhosa, Ordonhes e Macieira Ltda.",801320716,(88) 3061-6538,supplier,2025-03-13 19:37:16.050164,2025-03-13 19:37:16.050164
9,lloyd@konopelski.example,26205039560979,Pereira EIRELI,Empresa da Barra S.A. Ltda.,182793916,(28) 3039-2154,supplier,2025-03-13 19:37:16.062104,2025-03-13 19:37:16.062104
10,johnathon@conroy.example,97342789562252,Castro-Ornelas,Empresa Moreira-da Mota Ltda.,189263601,(13) 4344-4004,supplier,2025-03-13 19:37:16.073863,2025-03-13 19:37:16.073863
11,frances.emmerich@lesch.test,54954802400344,Ferraço Comércio,Empresa Quaresma LTDA Ltda.,440618432,(13) 9915-5139,supplier,2025-03-13 19:37:16.089728,2025-03-13 19:37:16.089728
12,jan_parisian@rohan.test,46370049126527,Teles LTDA,Empresa Nascimento Comércio Ltda.,774218740,(62) 1840-3438,supplier,2025-03-13 19:37:16.129381,2025-03-13 19:37:16.129381
