id,company_id,seller_id,minimum_order_value,state,city,anticipates_holidays,delivery_days,invoice_time_days,created_at,updated_at,delivery_type,delivery_day_type,phone_number
1,1,,1708.00,RO,"['Marataizes', 'Aveiro', 'Serra do Navio', 'Carira']",True,"[17, 28, 31]",14,2024-07-14 09:36:17.111634,2025-03-13 19:37:17.389239,fob,month_days,
2,1,,1697.00,AC,"['Salitre', 'Conde', 'Jundiá', 'Coronel Pilar']",False,"[4, 10, 24]",20,2024-06-27 05:17:15.602750,2025-03-13 19:37:17.397264,fob,month_days,
3,1,,1114.00,RO,"['Candelária', 'Dom Bosco', 'Jeriquara']",True,"[2, 4, 7]",23,2024-06-25 00:02:39.422759,2025-03-13 19:37:17.405100,fob,week_days,
4,1,,1164.00,SP,"['Taquari', 'Rio Branco', 'Senador Firmino']",False,"[2, 3, 7]",20,2024-08-22 04:23:54.519558,2025-03-13 19:37:17.412962,fob,week_days,
5,5,,112.00,PR,"['Meridiano', 'Altamira']",False,"[6, 8, 11]",16,2024-08-04 06:02:05.211207,2025-03-13 19:37:17.420386,fob,month_days,
6,5,,176.00,PA,"['Marcação', 'Açailândia', 'Nioaque']",False,"[1, 5, 6]",26,2025-01-08 00:19:21.712220,2025-03-13 19:37:17.428332,cif,week_days,
7,5,,482.00,AL,"['Tietê', 'Milagres do Maranhão', 'Chã de Alegria', 'Altinópolis']",True,"[9, 13, 20]",27,2024-07-15 09:21:14.254419,2025-03-13 19:37:17.436370,cif,month_days,
8,5,,649.00,RO,"['Jaboti', 'Itabaiana', 'Água Clara', 'Santana do Itararé']",True,"[1, 3, 4]",29,2024-08-19 15:59:16.877529,2025-03-13 19:37:17.445512,fob,week_days,
9,6,,549.00,AL,"['Tavares', 'Américo de Campos', 'Pedras Altas']",True,"[1, 5, 9]",6,2024-08-04 21:59:23.535329,2025-03-13 19:37:17.453148,fob,month_days,
10,6,,715.00,DF,"['Maceió', 'Bom Sucesso de Itararé', 'Santo Antônio de Jesus']",False,"[2, 4, 7]",14,2025-01-23 04:00:00.158550,2025-03-13 19:37:17.460801,cif,week_days,
11,6,,436.00,SC,"['São Romão', 'São Francisco de Goiás']",False,"[6, 11, 12]",12,2025-01-28 17:08:08.356572,2025-03-13 19:37:17.468714,fob,month_days,
12,6,,668.00,BA,"['Tanque Novo', 'Ourinhos', 'Guapimirim', 'São Mateus do Sul']",False,"[9, 30, 31]",18,2024-08-07 02:24:29.407866,2025-03-13 19:37:17.482894,fob,month_days,
13,7,,1223.00,SE,"['Jaciara', 'Miguel Pereira']",True,"[2, 6, 7]",4,2024-06-09 22:03:09.221210,2025-03-13 19:37:17.491836,fob,week_days,
14,7,,782.00,PE,"['Ribeirão Preto', 'Bebedouro', 'Boca do Acre', 'Olivedos']",False,"[3, 16, 29]",28,2024-07-13 23:26:57.098171,2025-03-13 19:37:17.502123,cif,month_days,
15,7,,446.00,RO,"['Ipueiras', 'São José do Cerrito', 'Cristiano Otoni', 'Campo Magro']",True,"[3, 11, 24]",7,2024-08-17 10:19:36.630423,2025-03-13 19:37:17.511394,cif,month_days,
