id,priceable_type,priceable_id,supplier_product_id,value,created_at,updated_at,expiration_date
1,SupplierProduct,1,1,72700,2025-03-13 19:38:12.370221,2025-03-13 19:38:12.370221,2025-03-15 19:38:12.349089
2,Discount,1,1,52355,2025-03-13 19:38:12.401468,2025-03-13 19:38:12.401468,2025-03-17 19:38:12.400786
3,SpecialPrice,1,1,59528,2025-03-13 19:38:12.433504,2025-03-13 19:38:12.433504,2025-03-21 19:38:12.432836
4,SupplierProduct,2,2,30300,2025-03-13 19:38:12.448917,2025-03-13 19:38:12.448917,2025-03-19 19:38:12.448181
5,Discount,2,2,25022,2025-03-13 19:38:12.471121,2025-03-13 19:38:12.471121,2025-03-17 19:38:12.470530
6,SpecialPrice,2,2,25601,2025-03-13 19:38:12.489515,2025-03-13 19:38:12.489515,2025-03-26 19:38:12.488708
7,SupplierProduct,3,3,53800,2025-03-13 19:38:12.509306,2025-03-13 19:38:12.509306,2025-03-17 19:38:12.507420
8,Discount,3,3,42171,2025-03-13 19:38:12.540446,2025-03-13 19:38:12.540446,2025-03-17 19:38:12.539628
9,SpecialPrice,3,3,44571,2025-03-13 19:38:12.559382,2025-03-13 19:38:12.559382,2025-03-22 19:38:12.558781
10,SupplierProduct,4,4,34800,2025-03-13 19:38:12.574282,2025-03-13 19:38:12.574282,2025-03-16 19:38:12.573705
11,Discount,4,4,25334,2025-03-13 19:38:12.597154,2025-03-13 19:38:12.597154,2025-03-20 19:38:12.596549
12,SpecialPrice,4,4,28642,2025-03-13 19:38:12.612910,2025-03-13 19:38:12.612910,2025-03-18 19:38:12.612194
13,SupplierProduct,5,5,99900,2025-03-13 19:38:12.627452,2025-03-13 19:38:12.627452,2025-03-16 19:38:12.626847
14,Discount,5,5,83980,2025-03-13 19:38:12.642083,2025-03-13 19:38:12.642083,2025-03-18 19:38:12.641353
15,SpecialPrice,5,5,85618,2025-03-13 19:38:12.664844,2025-03-13 19:38:12.664844,2025-03-25 19:38:12.664201
16,SupplierProduct,6,6,93400,2025-03-13 19:38:12.684146,2025-03-13 19:38:12.684146,2025-03-14 19:38:12.683432
17,Discount,6,6,80356,2025-03-13 19:38:12.705821,2025-03-13 19:38:12.705821,2025-03-20 19:38:12.705163
18,SpecialPrice,6,6,76666,2025-03-13 19:38:12.722389,2025-03-13 19:38:12.722389,2025-03-20 19:38:12.721716
19,SupplierProduct,7,7,98900,2025-03-13 19:38:12.741478,2025-03-13 19:38:12.741478,2025-03-17 19:38:12.740395
20,Discount,7,7,71339,2025-03-13 19:38:12.756562,2025-03-13 19:38:12.756562,2025-03-19 19:38:12.755835
21,SpecialPrice,7,7,79770,2025-03-13 19:38:12.774283,2025-03-13 19:38:12.774283,2025-03-24 19:38:12.773705
