id,bar_code,unit_of_measurement_id,name,description,created_at,updated_at,image_url
1,38268786,8,Nome do produto,"Fresh parsley, Italian sausage, shallots, garlic, sun-dried tomatoes and mozzarella cheese in an all-butter crust. With a side of mixed fruits.",2025-03-13 19:38:11.710908,2025-03-13 19:38:11.710908,https://picsum.photos/200?random=557
2,63435450,2,Nome do produto,"28-day aged 300g USDA Certified Prime Ribeye, rosemary-thyme garlic butter, with choice of two sides.",2025-03-13 19:38:11.723834,2025-03-13 19:38:11.723834,https://picsum.photos/200?random=42
3,90317217,3,Nome do produto,"Fresh parsley, Italian sausage, shallots, garlic, sun-dried tomatoes and mozzarella cheese in an all-butter crust. With a side of mixed fruits.",2025-03-13 19:38:11.735112,2025-03-13 19:38:11.735112,https://picsum.photos/200?random=754
4,10570326,6,Nome do produto,"Granny Smith apples mixed with brown sugar and butter filling, in a flaky all-butter crust, with ice cream.",2025-03-13 19:38:11.745885,2025-03-13 19:38:11.745885,https://picsum.photos/200?random=187
5,75424534,1,Nome do produto,"28-day aged 300g USDA Certified Prime Ribeye, rosemary-thyme garlic butter, with choice of two sides.",2025-03-13 19:38:11.755509,2025-03-13 19:38:11.755509,https://picsum.photos/200?random=719
6,95817699,2,Nome do produto,"Thick slices of French toast bread, brown sugar, half-and-half and vanilla, topped with powdered sugar. With two eggs served any style, and your choice of smoked bacon or smoked ham.",2025-03-13 19:38:11.765861,2025-03-13 19:38:11.765861,https://picsum.photos/200?random=238
7,57639963,5,Nome do produto,"Thick slices of French toast bread, brown sugar, half-and-half and vanilla, topped with powdered sugar. With two eggs served any style, and your choice of smoked bacon or smoked ham.",2025-03-13 19:38:11.777241,2025-03-13 19:38:11.777241,https://picsum.photos/200?random=332
8,55621205,9,Nome do produto,"Thick slices of French toast bread, brown sugar, half-and-half and vanilla, topped with powdered sugar. With two eggs served any style, and your choice of smoked bacon or smoked ham.",2025-03-13 19:38:11.787129,2025-03-13 19:38:11.787129,https://picsum.photos/200?random=681
9,57972978,7,Nome do produto,"28-day aged 300g USDA Certified Prime Ribeye, rosemary-thyme garlic butter, with choice of two sides.",2025-03-13 19:38:11.796819,2025-03-13 19:38:11.796819,https://picsum.photos/200?random=591
10,48170598,8,Nome do produto,"Three egg whites with spinach, mushrooms, caramelized onions, tomatoes and low-fat feta cheese. With herbed quinoa, and your choice of rye or whole-grain toast.",2025-03-13 19:38:11.806779,2025-03-13 19:38:11.806779,https://picsum.photos/200?random=440
11,42909675,2,Nome do produto,Breaded fried chicken with waffles. Served with maple syrup.,2025-03-13 19:38:11.821474,2025-03-13 19:38:11.821474,https://picsum.photos/200?random=491
12,60716453,9,Nome do produto,"Fresh parsley, Italian sausage, shallots, garlic, sun-dried tomatoes and mozzarella cheese in an all-butter crust. With a side of mixed fruits.",2025-03-13 19:38:11.833509,2025-03-13 19:38:11.833509,https://picsum.photos/200?random=150
13,91100764,1,Nome do produto,"Fresh Norwegian salmon, lightly brushed with our herbed Dijon mustard sauce, with choice of two sides.",2025-03-13 19:38:11.849083,2025-03-13 19:38:11.849083,https://picsum.photos/200?random=342
14,76574023,4,Nome do produto,Breaded fried chicken with waffles. Served with maple syrup.,2025-03-13 19:38:11.859923,2025-03-13 19:38:11.859923,https://picsum.photos/200?random=880
15,40832463,4,Nome do produto,"Three eggs with cilantro, tomatoes, onions, avocados and melted Emmental cheese. With a side of roasted potatoes, and your choice of toast or croissant.",2025-03-13 19:38:11.871885,2025-03-13 19:38:11.871885,https://picsum.photos/200?random=380
16,65651742,2,Nome do produto,"Smoked salmon, poached eggs, diced red onions and Hollandaise sauce on an English muffin. With a side of roasted potatoes.",2025-03-13 19:38:11.881764,2025-03-13 19:38:11.881764,https://picsum.photos/200?random=922
17,60345424,6,Nome do produto,"Creamy mascarpone cheese and custard layered between espresso and rum soaked house-made ladyfingers, topped with Valrhona cocoa powder.",2025-03-13 19:38:11.892381,2025-03-13 19:38:11.892381,https://picsum.photos/200?random=110
18,13151508,10,Nome do produto,Breaded fried chicken with waffles. Served with maple syrup.,2025-03-13 19:38:11.901876,2025-03-13 19:38:11.901876,https://picsum.photos/200?random=761
19,79656917,7,Nome do produto,"Thick slices of French toast bread, brown sugar, half-and-half and vanilla, topped with powdered sugar. With two eggs served any style, and your choice of smoked bacon or smoked ham.",2025-03-13 19:38:11.915779,2025-03-13 19:38:11.915779,https://picsum.photos/200?random=293
20,30361430,2,Nome do produto,"Granny Smith apples mixed with brown sugar and butter filling, in a flaky all-butter crust, with ice cream.",2025-03-13 19:38:11.926481,2025-03-13 19:38:11.926481,https://picsum.photos/200?random=676
21,62362535,2,Nome do produto,"28-day aged 300g USDA Certified Prime Ribeye, rosemary-thyme garlic butter, with choice of two sides.",2025-03-13 19:38:11.938783,2025-03-13 19:38:11.938783,https://picsum.photos/200?random=523
22,11476313,4,Nome do produto,"28-day aged 300g USDA Certified Prime Ribeye, rosemary-thyme garlic butter, with choice of two sides.",2025-03-13 19:38:11.952656,2025-03-13 19:38:11.952656,https://picsum.photos/200?random=589
23,89776957,6,Nome do produto,"Smoked salmon, poached eggs, diced red onions and Hollandaise sauce on an English muffin. With a side of roasted potatoes.",2025-03-13 19:38:11.967831,2025-03-13 19:38:11.967831,https://picsum.photos/200?random=876
