id,bar_code,unit_of_measurement_id,name,current_status,created_at,updated_at,description,company_id
1,8949461894984,5,Ovos brancos G,approved,2025-03-21 18:54:36.187973,2025-03-21 19:08:26.470473,,1
2,8949461890004,9,Ovos brancos G,approved,2025-03-21 18:58:56.643511,2025-03-21 19:11:30.286797,,1
3,8943333894984,3,peito de frango,approved,2025-03-21 19:08:46.367874,2025-03-21 19:15:26.399833,,1
7,7896132404112,11,CARNE BOV S/OSSO RESF PICANHA SIMP,pending,2025-04-04 13:17:55.861281,2025-04-04 13:17:55.861281,,1
8,7896132404020,12,CARNE BOV S/OSSO CRY-PATINHO,pending,2025-04-04 13:17:55.934801,2025-04-04 13:17:55.934801,,1
9,7896132404037,12,CARNE BOV S/OSSO CRY-COXAO DURO,pending,2025-04-04 13:17:55.967224,2025-04-04 13:17:55.967224,,1
10,7896132404075,13,CARNE BOV S/OSSO CRY-LAGARTO,pending,2025-04-04 13:17:55.998030,2025-04-04 13:17:55.998030,,1
11,7896132404044,14,CARNE BOV S/OSSO CRY-COXAO MOLE,pending,2025-04-04 13:17:56.046361,2025-04-04 13:17:56.046361,,1
12,7896132440684,15,CARNE BOV S/OSSO CRY-ALCATRA C/ MAMINHA,pending,2025-04-04 13:17:56.094055,2025-04-04 13:17:56.094055,,1
13,7896132404129,11,CARNE BOV S/OSSO CRY MAMINHA DA ALCATRA,pending,2025-04-04 13:17:56.131428,2025-04-04 13:17:56.131428,,1
14,7896132404143,11,CARNE BOV S/OSSO CRY-MUSCULO MOLE,pending,2025-04-04 13:17:56.167754,2025-04-04 13:17:56.167754,,1
15,7896132404099,16,CARNE BOV S/OSSO CRY-FRALDA,pending,2025-04-04 13:17:56.201566,2025-04-04 13:17:56.201566,,1
16,7896132404105,17,CARNE BOV S/OSSO-CAPA CONTRAFILE,pending,2025-04-04 13:17:56.241915,2025-04-04 13:17:56.241915,,1
17,7896132404532,12,CARNE BOV S/OSSO CRY-CUPIM,pending,2025-04-04 13:17:56.270826,2025-04-04 13:17:56.270826,,1
18,7896132403160,12,MIUDOS CONG DE BOVINO - BUCHO,pending,2025-04-04 13:17:56.301688,2025-04-04 13:17:56.301688,,1
19,7896132403214,12,MIUDOS CONG DE BOVINO - FIGADO,pending,2025-04-04 13:17:56.342486,2025-04-04 13:17:56.342486,,1
20,7896132403221,16,MIUDOS CONG DE BOVINO - CORACAO,pending,2025-04-04 13:17:56.391540,2025-04-04 13:17:56.391540,,1
21,7896132403931,12,CARNE CONG BOVINO S/OSSO ( LOMBINHO ),pending,2025-04-04 13:17:56.433403,2025-04-04 13:17:56.433403,,1
22,7896132403948,18,OSSOS CONG DE BOV-ROTULA DO PATINHO,pending,2025-04-04 13:17:56.505877,2025-04-04 13:17:56.505877,,1
23,7896132404624,13,RECORTE DE ALCATRA BOV CONG (ARANHA),pending,2025-04-04 13:17:56.558943,2025-04-04 13:17:56.558943,,1
24,7896132404631,16,RECORTE DE CONTRAFILE BOV CONG (BANANINHA),pending,2025-04-04 13:17:56.596004,2025-04-04 13:17:56.596004,,1
25,7896132404648,16,RECORTE DE FILE MIGNON BOV CONG (CORDAO),pending,2025-04-04 13:17:56.638205,2025-04-04 13:17:56.638205,,1
26,7896132404662,13,CARNE CONG BOV S/OSSO ( DIAFRAGMA ),pending,2025-04-04 13:17:56.668293,2025-04-04 13:17:56.668293,,1
27,7896132404259,11,CARNE BOV S/OSSO CONG PICANHA SIMP,pending,2025-04-04 13:17:56.700637,2025-04-04 13:17:56.700637,,1
28,7896132404198,16,CARNE BOV S/OSSO CONG FRALDA,pending,2025-04-04 13:17:56.745878,2025-04-04 13:17:56.745878,,1
29,8949000000084,2,Embalagem grande,pending,2025-04-07 12:46:15.021956,2025-04-07 12:46:15.021956,,1
30,89494610000000,7,ovos vermelhos ,pending,2025-04-09 20:10:27.276991,2025-04-09 20:10:27.276991,,1
31,4848484848484848,19,Refrigerante coca cola ,pending,2025-04-17 17:26:37.675055,2025-04-17 17:26:37.675055,,1
36,17891515971592,24,FILÉ DE PEITO SASSAMI (FILÉZINHO),approved,2025-04-18 01:33:05.592874,2025-04-18 03:13:51.691174,,62
35,7897791200305,23,FILÉ DE PEITO DE FRANGO KG ,approved,2025-04-18 01:31:33.518794,2025-04-18 03:13:59.570744,,62
34,7898312041254,22,COXA E SOBRECOXA DE FRANGO BDJ,approved,2025-04-18 01:30:18.542810,2025-04-18 03:14:03.803262,,62
33,7898208481225,21,COXA C/ SOBRE COXA DE FRANGO C/DORSO,approved,2025-04-18 01:23:31.797691,2025-04-18 03:14:09.161417,,62
32,7896466621353,20,Leite longa vida Lirio integral,approved,2025-04-18 01:14:57.560058,2025-04-18 03:14:17.251649,,62
37,123124124123,25,qweqw,pending,2025-04-22 14:10:45.325941,2025-04-22 14:10:45.325941,,1
38,8949461023121,26,Refrigerante coca cola ,approved,2025-04-22 14:12:01.973293,2025-04-22 14:13:11.512511,,1
4, 7898964756049,3,Gordura de Palma Marborges 15kg,approved,2025-04-02 18:07:50.646230,2025-04-23 16:15:25.488161,,1
5,7896010006360,5,CONHAQUE DE GENGIBRE DREHER GARRAFA 900ML,approved,2025-04-03 01:38:06.688553,2025-04-23 16:15:55.160556,,2
6,7896002305013,8,PÃO BISNAGUITO PLUSVITA 300G,approved,2025-04-03 16:37:28.857681,2025-04-23 16:17:02.117938,,1
39,1111111111111,27,TESTE,approved,2025-04-22 17:02:37.578869,2025-04-25 14:20:29.426602,,1
41,7896259412571,29,leite em po 1kg,approved,2025-04-25 00:21:10.922208,2025-04-25 14:20:43.901660,,62
40,7896342413089,28,file de peito de frango ,approved,2025-04-23 17:17:23.727255,2025-04-25 14:20:50.399864,,1
42,1234567897894562123,30,carne moida patinho,approved,2025-04-25 16:48:02.730056,2025-04-25 16:48:41.541036,,1
