id,name,permissions,company_id,created_at,updated_at
1,admin,"{'can_manage_users': True, 'can_view_reports': True}",1,2025-03-13 19:37:18.701753,2025-03-13 19:37:18.701753
2,manager,"{'can_manage_users': False, 'can_view_reports': True}",1,2025-03-13 19:37:18.709627,2025-03-13 19:37:18.709627
3,employee,"{'can_manage_users': False, 'can_view_reports': False}",1,2025-03-13 19:37:18.717309,2025-03-13 19:37:18.717309
4,admin,"{'can_manage_users': True, 'can_view_reports': True}",2,2025-03-13 19:37:18.727768,2025-03-13 19:37:18.727768
5,manager,"{'can_manage_users': False, 'can_view_reports': True}",2,2025-03-13 19:37:18.735407,2025-03-13 19:37:18.735407
6,employee,"{'can_manage_users': False, 'can_view_reports': False}",2,2025-03-13 19:37:18.746413,2025-03-13 19:37:18.746413
7,admin,"{'can_manage_users': True, 'can_view_reports': True}",3,2025-03-13 19:37:18.756400,2025-03-13 19:37:18.756400
8,manager,"{'can_manage_users': False, 'can_view_reports': True}",3,2025-03-13 19:37:18.763855,2025-03-13 19:37:18.763855
9,employee,"{'can_manage_users': False, 'can_view_reports': False}",3,2025-03-13 19:37:18.771457,2025-03-13 19:37:18.771457
10,admin,"{'can_manage_users': True, 'can_view_reports': True}",4,2025-03-13 19:37:18.786605,2025-03-13 19:37:18.786605
11,manager,"{'can_manage_users': False, 'can_view_reports': True}",4,2025-03-13 19:37:18.795869,2025-03-13 19:37:18.795869
12,employee,"{'can_manage_users': False, 'can_view_reports': False}",4,2025-03-13 19:37:18.803361,2025-03-13 19:37:18.803361
13,admin,"{'can_manage_users': True, 'can_view_reports': True}",5,2025-03-13 19:37:18.810938,2025-03-13 19:37:18.810938
14,manager,"{'can_manage_users': False, 'can_view_reports': True}",5,2025-03-13 19:37:18.818385,2025-03-13 19:37:18.818385
15,employee,"{'can_manage_users': False, 'can_view_reports': False}",5,2025-03-13 19:37:18.827534,2025-03-13 19:37:18.827534
16,admin,"{'can_manage_users': True, 'can_view_reports': True}",6,2025-03-13 19:37:18.838159,2025-03-13 19:37:18.838159
17,manager,"{'can_manage_users': False, 'can_view_reports': True}",6,2025-03-13 19:37:18.845908,2025-03-13 19:37:18.845908
18,employee,"{'can_manage_users': False, 'can_view_reports': False}",6,2025-03-13 19:37:18.853401,2025-03-13 19:37:18.853401
19,admin,"{'can_manage_users': True, 'can_view_reports': True}",7,2025-03-13 19:37:18.860407,2025-03-13 19:37:18.860407
20,manager,"{'can_manage_users': False, 'can_view_reports': True}",7,2025-03-13 19:37:18.867864,2025-03-13 19:37:18.867864
21,employee,"{'can_manage_users': False, 'can_view_reports': False}",7,2025-03-13 19:37:18.875413,2025-03-13 19:37:18.875413
22,admin,"{'can_manage_users': True, 'can_view_reports': True}",8,2025-03-13 19:37:18.883427,2025-03-13 19:37:18.883427
23,manager,"{'can_manage_users': False, 'can_view_reports': True}",8,2025-03-13 19:37:18.894738,2025-03-13 19:37:18.894738
24,employee,"{'can_manage_users': False, 'can_view_reports': False}",8,2025-03-13 19:37:18.902522,2025-03-13 19:37:18.902522
25,admin,"{'can_manage_users': True, 'can_view_reports': True}",9,2025-03-13 19:37:18.917702,2025-03-13 19:37:18.917702
26,manager,"{'can_manage_users': False, 'can_view_reports': True}",9,2025-03-13 19:37:18.927584,2025-03-13 19:37:18.927584
27,employee,"{'can_manage_users': False, 'can_view_reports': False}",9,2025-03-13 19:37:18.935301,2025-03-13 19:37:18.935301
28,admin,"{'can_manage_users': True, 'can_view_reports': True}",10,2025-03-13 19:37:18.952075,2025-03-13 19:37:18.952075
29,manager,"{'can_manage_users': False, 'can_view_reports': True}",10,2025-03-13 19:37:18.961400,2025-03-13 19:37:18.961400
30,employee,"{'can_manage_users': False, 'can_view_reports': False}",10,2025-03-13 19:37:18.974301,2025-03-13 19:37:18.974301
31,admin,"{'can_manage_users': True, 'can_view_reports': True}",11,2025-03-13 19:37:18.989353,2025-03-13 19:37:18.989353
32,manager,"{'can_manage_users': False, 'can_view_reports': True}",11,2025-03-13 19:37:19.009081,2025-03-13 19:37:19.009081
33,employee,"{'can_manage_users': False, 'can_view_reports': False}",11,2025-03-13 19:37:19.023539,2025-03-13 19:37:19.023539
34,admin,"{'can_manage_users': True, 'can_view_reports': True}",12,2025-03-13 19:37:19.038542,2025-03-13 19:37:19.038542
35,manager,"{'can_manage_users': False, 'can_view_reports': True}",12,2025-03-13 19:37:19.057337,2025-03-13 19:37:19.057337
36,employee,"{'can_manage_users': False, 'can_view_reports': False}",12,2025-03-13 19:37:19.065114,2025-03-13 19:37:19.065114
37,admin,"{'can_manage_users': True, 'can_view_reports': True}",13,2025-03-13 19:37:19.076742,2025-03-13 19:37:19.076742
38,manager,"{'can_manage_users': False, 'can_view_reports': True}",13,2025-03-13 19:37:19.084400,2025-03-13 19:37:19.084400
39,employee,"{'can_manage_users': False, 'can_view_reports': False}",13,2025-03-13 19:37:19.091619,2025-03-13 19:37:19.091619
40,admin,"{'can_manage_users': True, 'can_view_reports': True}",14,2025-03-13 19:37:19.099854,2025-03-13 19:37:19.099854
41,manager,"{'can_manage_users': False, 'can_view_reports': True}",14,2025-03-13 19:37:19.107009,2025-03-13 19:37:19.107009
42,employee,"{'can_manage_users': False, 'can_view_reports': False}",14,2025-03-13 19:37:19.119783,2025-03-13 19:37:19.119783
43,admin,"{'can_manage_users': True, 'can_view_reports': True}",15,2025-03-13 19:37:19.130081,2025-03-13 19:37:19.130081
44,manager,"{'can_manage_users': False, 'can_view_reports': True}",15,2025-03-13 19:37:19.138068,2025-03-13 19:37:19.138068
45,employee,"{'can_manage_users': False, 'can_view_reports': False}",15,2025-03-13 19:37:19.148012,2025-03-13 19:37:19.148012
46,admin,"{'can_manage_users': True, 'can_view_reports': True}",16,2025-03-13 19:37:19.161527,2025-03-13 19:37:19.161527
47,manager,"{'can_manage_users': False, 'can_view_reports': True}",16,2025-03-13 19:37:19.171346,2025-03-13 19:37:19.171346
48,employee,"{'can_manage_users': False, 'can_view_reports': False}",16,2025-03-13 19:37:19.179564,2025-03-13 19:37:19.179564
49,admin,"{'can_manage_users': True, 'can_view_reports': True}",17,2025-03-13 19:37:19.189559,2025-03-13 19:37:19.189559
50,manager,"{'can_manage_users': False, 'can_view_reports': True}",17,2025-03-13 19:37:19.197508,2025-03-13 19:37:19.197508
51,employee,"{'can_manage_users': False, 'can_view_reports': False}",17,2025-03-13 19:37:19.205185,2025-03-13 19:37:19.205185
52,admin,"{'can_manage_users': True, 'can_view_reports': True}",18,2025-03-13 19:37:19.213594,2025-03-13 19:37:19.213594
53,manager,"{'can_manage_users': False, 'can_view_reports': True}",18,2025-03-13 19:37:19.228701,2025-03-13 19:37:19.228701
54,employee,"{'can_manage_users': False, 'can_view_reports': False}",18,2025-03-13 19:37:19.238161,2025-03-13 19:37:19.238161
55,admin,"{'can_manage_users': True, 'can_view_reports': True}",19,2025-03-13 19:37:19.246735,2025-03-13 19:37:19.246735
56,manager,"{'can_manage_users': False, 'can_view_reports': True}",19,2025-03-13 19:37:19.255245,2025-03-13 19:37:19.255245
57,employee,"{'can_manage_users': False, 'can_view_reports': False}",19,2025-03-13 19:37:19.262941,2025-03-13 19:37:19.262941
58,admin,"{'can_manage_users': True, 'can_view_reports': True}",20,2025-03-13 19:37:19.272882,2025-03-13 19:37:19.272882
59,manager,"{'can_manage_users': False, 'can_view_reports': True}",20,2025-03-13 19:37:19.280810,2025-03-13 19:37:19.280810
60,employee,"{'can_manage_users': False, 'can_view_reports': False}",20,2025-03-13 19:37:19.288567,2025-03-13 19:37:19.288567
61,admin,"{'can_manage_users': True, 'can_view_reports': True}",21,2025-03-13 19:37:19.297361,2025-03-13 19:37:19.297361
62,manager,"{'can_manage_users': False, 'can_view_reports': True}",21,2025-03-13 19:37:19.306499,2025-03-13 19:37:19.306499
63,employee,"{'can_manage_users': False, 'can_view_reports': False}",21,2025-03-13 19:37:19.314150,2025-03-13 19:37:19.314150
64,admin,"{'can_manage_users': True, 'can_view_reports': True}",22,2025-03-13 19:37:19.321771,2025-03-13 19:37:19.321771
65,manager,"{'can_manage_users': False, 'can_view_reports': True}",22,2025-03-13 19:37:19.330631,2025-03-13 19:37:19.330631
66,employee,"{'can_manage_users': False, 'can_view_reports': False}",22,2025-03-13 19:37:19.339355,2025-03-13 19:37:19.339355
67,admin,"{'can_manage_users': True, 'can_view_reports': True}",23,2025-03-13 19:37:19.350759,2025-03-13 19:37:19.350759
68,manager,"{'can_manage_users': False, 'can_view_reports': True}",23,2025-03-13 19:37:19.359202,2025-03-13 19:37:19.359202
69,employee,"{'can_manage_users': False, 'can_view_reports': False}",23,2025-03-13 19:37:19.367676,2025-03-13 19:37:19.367676
70,admin,"{'can_manage_users': True, 'can_view_reports': True}",24,2025-03-13 19:37:19.377105,2025-03-13 19:37:19.377105
71,manager,"{'can_manage_users': False, 'can_view_reports': True}",24,2025-03-13 19:37:19.385163,2025-03-13 19:37:19.385163
72,employee,"{'can_manage_users': False, 'can_view_reports': False}",24,2025-03-13 19:37:19.392002,2025-03-13 19:37:19.392002
73,admin,"{'can_manage_users': True, 'can_view_reports': True}",25,2025-03-13 19:37:19.402064,2025-03-13 19:37:19.402064
74,manager,"{'can_manage_users': False, 'can_view_reports': True}",25,2025-03-13 19:37:19.409738,2025-03-13 19:37:19.409738
75,employee,"{'can_manage_users': False, 'can_view_reports': False}",25,2025-03-13 19:37:19.418339,2025-03-13 19:37:19.418339
76,admin,"{'can_manage_users': True, 'can_view_reports': True}",26,2025-03-13 19:37:19.427136,2025-03-13 19:37:19.427136
77,manager,"{'can_manage_users': False, 'can_view_reports': True}",26,2025-03-13 19:37:19.435560,2025-03-13 19:37:19.435560
78,employee,"{'can_manage_users': False, 'can_view_reports': False}",26,2025-03-13 19:37:19.442963,2025-03-13 19:37:19.442963
79,admin,"{'can_manage_users': True, 'can_view_reports': True}",27,2025-03-13 19:37:19.452234,2025-03-13 19:37:19.452234
80,manager,"{'can_manage_users': False, 'can_view_reports': True}",27,2025-03-13 19:37:19.459406,2025-03-13 19:37:19.459406
81,employee,"{'can_manage_users': False, 'can_view_reports': False}",27,2025-03-13 19:37:19.466572,2025-03-13 19:37:19.466572
82,admin,"{'can_manage_users': True, 'can_view_reports': True}",28,2025-03-13 19:37:19.475310,2025-03-13 19:37:19.475310
83,manager,"{'can_manage_users': False, 'can_view_reports': True}",28,2025-03-13 19:37:19.484585,2025-03-13 19:37:19.484585
84,employee,"{'can_manage_users': False, 'can_view_reports': False}",28,2025-03-13 19:37:19.491782,2025-03-13 19:37:19.491782
85,admin,"{'can_manage_users': True, 'can_view_reports': True}",29,2025-03-13 19:37:19.499654,2025-03-13 19:37:19.499654
86,manager,"{'can_manage_users': False, 'can_view_reports': True}",29,2025-03-13 19:37:19.507936,2025-03-13 19:37:19.507936
87,employee,"{'can_manage_users': False, 'can_view_reports': False}",29,2025-03-13 19:37:19.515071,2025-03-13 19:37:19.515071
88,admin,"{'can_manage_users': True, 'can_view_reports': True}",30,2025-03-13 19:37:19.525860,2025-03-13 19:37:19.525860
89,manager,"{'can_manage_users': False, 'can_view_reports': True}",30,2025-03-13 19:37:19.533108,2025-03-13 19:37:19.533108
90,employee,"{'can_manage_users': False, 'can_view_reports': False}",30,2025-03-13 19:37:19.540427,2025-03-13 19:37:19.540427
91,admin,"{'can_manage_users': True, 'can_view_reports': True}",31,2025-03-13 19:37:19.550351,2025-03-13 19:37:19.550351
92,manager,"{'can_manage_users': False, 'can_view_reports': True}",31,2025-03-13 19:37:19.557627,2025-03-13 19:37:19.557627
93,employee,"{'can_manage_users': False, 'can_view_reports': False}",31,2025-03-13 19:37:19.564574,2025-03-13 19:37:19.564574
94,admin,"{'can_manage_users': True, 'can_view_reports': True}",32,2025-03-13 19:37:19.576282,2025-03-13 19:37:19.576282
95,manager,"{'can_manage_users': False, 'can_view_reports': True}",32,2025-03-13 19:37:19.584340,2025-03-13 19:37:19.584340
96,employee,"{'can_manage_users': False, 'can_view_reports': False}",32,2025-03-13 19:37:19.591788,2025-03-13 19:37:19.591788
97,admin,"{'can_manage_users': True, 'can_view_reports': True}",33,2025-03-13 19:37:19.600101,2025-03-13 19:37:19.600101
98,manager,"{'can_manage_users': False, 'can_view_reports': True}",33,2025-03-13 19:37:19.608261,2025-03-13 19:37:19.608261
99,employee,"{'can_manage_users': False, 'can_view_reports': False}",33,2025-03-13 19:37:19.617928,2025-03-13 19:37:19.617928
100,admin,"{'can_manage_users': True, 'can_view_reports': True}",34,2025-03-13 19:37:19.626296,2025-03-13 19:37:19.626296
101,manager,"{'can_manage_users': False, 'can_view_reports': True}",34,2025-03-13 19:37:19.633399,2025-03-13 19:37:19.633399
102,employee,"{'can_manage_users': False, 'can_view_reports': False}",34,2025-03-13 19:37:19.640651,2025-03-13 19:37:19.640651
103,admin,"{'can_manage_users': True, 'can_view_reports': True}",35,2025-03-13 19:37:19.648690,2025-03-13 19:37:19.648690
104,manager,"{'can_manage_users': False, 'can_view_reports': True}",35,2025-03-13 19:37:19.657755,2025-03-13 19:37:19.657755
105,employee,"{'can_manage_users': False, 'can_view_reports': False}",35,2025-03-13 19:37:19.666504,2025-03-13 19:37:19.666504
106,admin,"{'can_manage_users': True, 'can_view_reports': True}",36,2025-03-13 19:37:19.674149,2025-03-13 19:37:19.674149
